tool_name,subject,type,subtype,intent,contents_example,color,interior_color,measurement,label
ZEJMAABFFCCFSZOZ,4' Wide Valley Gutter,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"61'-9""",0 0.5019608 1,1 0 0,Measure,
TQSIPWISGCFABLNT,Vertical Curb & Gutter - Mono,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"41'-3/4""",1 0 0,1 0 0,Measure,
BXTVDBOUUQLIOWMG,Vertical Curb & Gutter - Alone,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"56'-11 1/2""",1 0.5019608 0.7529412,1 0 0,Measure,
TQSIPWISGCFABLNT,Vertical Curb & Gutter - Hand,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"7'-0""",0.5019608 0 0,1 0 0,Measure,
XUOBEKXYSIHRHKVY,Rolled Curb & Gutter - Alone,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"57'-3 1/2""",0.2745098 0.5411765 0.9843137,0 0 1,Measure,
TOGONGSAZHATBVWF,Rolled Curb & Gutter - Mono,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"96'-8 3/4""",0 0 1,0 0 1,Measure,
RYDFIWWCMORTUBJO,Rolled Curb & Gutter - Hand,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"115'-6 1/4""",0.5019608 0.5019608 1,0 0 1,Measure,
UFABHYBDBBDRWMYN,MOD_Rolled Curb & Gutter - Hand,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"30'-9 1/2""",0.5019608 1 1,0 0 1,Measure,
UFABHYBDBBDRWMYN,Curb & Gutter Transition,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"14'-3""",0.5019608 1 1,0 0 1,Measure,
QJOGUOYROABCKKFD,Vertical Curb,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"38'-2""",1 0 0,1 0 0,Measure,
WWTOCXDKZEOAOIIM,Type 3 Curb,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"155'-2""",0 0.5019608 0,1 0 0,Measure,
WWTOCXDKZEOAOIIM,Type B1 Barrier Curb,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"642'-10 3/4""",0 0.5019608 0,1 0 0,Measure,
PIGNDZXXDJKYXSCY,Rolled Curb,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"55'-1/2""",0 0.5019608 1,1 0 0,Measure,
VITQHYKDCUIKSECP,Flush Curb,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"6'-7""",0 0 1,1 0 0,Measure,
YMYYEIUXQORFPDVG,Type A1-6 Median Curb,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"48'-10 3/4""",0 1 0,1 0 0,Measure,
YMYYEIUXQORFPDVG,Type F Median Curb w/ Apron,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"214'-1/2""",0 1 0,1 0 0,Measure,
YMYYEIUXQORFPDVG,Type 14a Median Curb,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,"705'-2 1/2""",0 0.5019608 0.5019608,1 0 0,Measure,
GYXTEROGVJTCESRR,4' Attached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
VEFEWWVKTQXOHMPX,"4'6"" Attached Sidewalk",Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
LLBVRKCRCXUEPAXS,5' Attached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
SZDBCMSVTTVPNMSG,"5'6"" Attached Sidewalk",Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
QBBFFHUUIDMBWRPF,6' Attached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0.5019608 0.2509804,Measure,
RGQOAAXCCMPXNPWE,"6'6"" Attached Sidewalk",Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0.5019608 0.2509804,Measure,
VUUUITFWHIWYJTYJ,7' Attached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
VEJEVZGZUMCVQDWK,"7'6"" Attached Sidewalk",Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
NIUPDWOOLKMHZIOO,8' Attached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0.5019608 0.2509804,Measure,
GPFRUNQBHKJZVMLH,10' Attached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
UFXRSPGWBQJNYFOL,12' Attached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 0.5019608 0.2509804,1 0 0,Measure,
KQHOIWUWZNIBKUIO,Pilaster,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolygonCount,,0 0.6039216 0.6078432,0 0.6039216 0.6078432,Measure,
NJRUCWWFPNQSALAB,4' Detached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0 0,Measure,
KDLTUDESOREJOPHD,5' Detached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,,Measure,
UIGPERMGTWVOKZKW,6' Detached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0 0,Measure,
KRVZBLOEFKECVBWR,7' Detached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0 0,Measure,
OOTPQLHTSYVBLXGT,8' Detatched Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0.5019608 0.2509804,Measure,
OJDYKHKFNNMQVAET,10' Detached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0.5019608 0.2509804,Measure,
VNYEDLBXVXZPIGVT,12' Detached Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0 0,Measure,
VNYEDLBXVXZPIGVT,"15'6"" Sidewalk",Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0 0,Measure,
VNYEDLBXVXZPIGVT,16' Sidewalk,Bluebeam.PDF.Annotations.AnnotationMeasurePolylength,PolyLine,PolyLineDimension,,1 1 0,1 0 0,Measure,
VDWFQGWMFJSQEABG,Irregular Walk Area,Bluebeam.PDF.Annotations.AnnotationMeasureArea,Polygon,PolygonDimension,,1 0.7137255 0.5019608,1 0.7137255 0.5019608,Measure,
